article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
681107007,681107,Dahlia,265,Dress,Garment Full body,1010017,Stripe,72,Blue,3,Light,2,Blue,7613,Kids Girl Dresses,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1014,Dresses/Skirts girls,Sleeveless dress in a patterned cotton weave with a V-neck at the back and buttons down the back. Gathered seam and decorative bow at the waist and a flared skirt. Unlined.
686284001,686284,Santa sweater,252,Sweater,Garment Upper body,1010001,All over pattern,42,Red,7,Medium,18,Red,6546,Baby Boy Knitwear,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1003,Knitwear,"Long-sleeved jumper in jacquard-knit cotton with a hood with a pompom on top, and ribbing around the cuffs and hem."
544254002,544254,NEVADA,252,Sweater,Garment Upper body,1010001,All over pattern,9,Black,4,Dark,5,Black,5828,Jersey Fancy,F,Menswear,3,Menswear,20,Contemporary Smart,1005,Jersey Fancy,"Jumper in a soft, jacquard-knit cotton blend with long sleeves and ribbing around the neckline, cuffs and hem."
820021001,820021,Pat ls bd oxford gingham,259,Shirt,Garment Upper body,1010004,Check,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,5767,Shirt,F,Menswear,3,Menswear,21,Contemporary Casual,1011,Shirts,"Shirt in soft Oxford cotton with a button-down collar, classic front and yoke with a pleat and hanger at the back. Open chest pocket, long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slightly longer at the back. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette."
754256001,754256,GREENVILLE high support bra,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in fast-drying functional fabric. V-neck with a mesh detail front and back, removable inserts, double narrow shoulder straps and a racer back. Elastic hem. Medium support."
821338004,821338,Bertie Ballerina,86,Ballerinas,Shoes,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Ballet pumps with a decorative elastic bow on the front with metal tips. Satin linings, imitation leather insoles and smooth soles."
651490003,651490,Ronaldo thin hood,308,Hoodie,Garment Upper body,1010014,Placement print,6,Light Grey,1,Dusty Light,12,Grey,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"Long-sleeved top in lightweight sweatshirt fabric with a print motif, jersey-lined hood and ribbing at the cuffs and hem."
487205007,487205,Anton 5-p antislip  SB,302,Socks,Socks & Tights,1010001,All over pattern,82,Turquoise,5,Bright,7,Turquoise,4214,Kids Boy Socks,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1021,Socks and Tights,Fine-knit socks in a soft cotton blend with anti-slip protectors.
886270006,886270,Balloon Pleat fit,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,3938,EQ Ladies Denim,D,Divided,2,Divided,80,Divided Complements Other,1016,Trousers Denim,"5-pocket, ankle-length jeans in organic cotton denim with an extra-high waist, zip fly and button, and extra-wide legs that taper to the hems."
755712001,755712,Sune slipover set,259,Shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,7657,Kids Boy Shirt,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1011,Shirts,"Set with a shirt, sweater vest and bow tie or tie. Shirt in a cotton weave with a narrow turn-down collar, buttons down the front and long sleeves with buttoned cuffs. V-neck sweater vest in fine-knit cotton with ribbed trims. Pre-tied tie/bow tie with an adjustable elastic strap and plastic fastener at the back."
